순위,등록번호,서명,저자,발행자,청구기호,대출횟수
36,BAW000508447,"급식걸즈. 1, 초아, 아이돌이 되다!",급식걸즈 원작 ; 최재연 글 ; 진영옥 그림,샌드박스스토리 키즈,J 813.8-급59ㄱ-1,10
37,BAW000506699,출동! 머니 뭐니 클럽,신현수 글 ; 시미씨 그림,지학사아르볼,J 813.8-신94ㅊ,10
38,BAW000506359,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4,10
39,BAW000506663,"(신비아파트) 한자 귀신. 18, 불길한 방울 소리",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-18,10
40,BAW000505933,"토깽이네 지구 구출 대작전. 2, 음식물 쓰레기에서 지구를 구하라",원작: 토깽이네 ; 글: 잼스토리 ; 그림:양선모,위즈덤하우스,J 539-토12ㅌ-2,10
41,BAW000506647,"브레드 이발소 시즌2. 3, 우당탕탕! 빵들의 하루",몬스터스튜디오 원작 ; 임광천 구성,형설아이,J 813.8-몬58ㅂ-2-3,10
42,BAW000505969,파뿌리24. 4,파뿌리 원작 ; 백승하 글 ; 이정태 그림,겜툰,J 813.8-백58ㅍ-4,10
43,BAW000510141,(극장판) 안녕 자두야 : 제주도의 비밀,이빈 원작,학산문화사,J 813.8-이49ㅇ,10
44,BAW000508347,"어쩔뚱땡! 고구마머리TV : 호기심·상상력이 숙쑥 자라나는 과학학습만화. 2, 우주 탐험2, 반짝반짝 별들의 역습",글: 서동건 ; 그림: 서윤지,아울북,J 400-어73-2,10
45,BAW000509958,"(코믹 메이플스토리) 수학도둑. 86, 응용편",동암 송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-86,10
46,BAW000506534,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4=2,10
47,BAW000506397,(흔한남매) 겨울밤 대소동,흔한남매 원작 ; 한바리 글 ; 유난희 그림,MiraeN·아이세움,J 813.8-흔91ㄱ,10
48,BAW000508732,파뿌리24. 5,파뿌리 원작 ; 백승하 글 ; 이정태 그림,겜툰,J 813.8-백58ㅍ-5=2,10
49,BAW000508362,"흔한남매 과학 탐험대. 3, 인체","원작: 흔한남매 ; 글: 이재국,이현진 ; 그림: 김덕영",주니어김영사,J 400-흔91-3=2,10
50,BAW000507134,"고양이 해결사 깜냥. 4, 눈썰매장을 씽씽 달려라!",홍민정 지음 ; 김재희 그림,창비,J 813.8-홍39ㄱ-4=2,10
51,BAW000510202,파뿌리24. 6,파뿌리 원작 ; 백승하 글 ; 이정태 그림,겜툰,J 813.8-백58ㅍ-6,10
52,BAW000506710,흔한남매. 9,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.8-백211ㅎ-9=2,10
53,BAW000508543,"밍꼬발랄 코믹스. 13, 가자, 집으로!",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-13,10
54,BAW000506623,급식왕GO. 5,급식왕 원작 ; 최재연 글 ; 구은미 그림,아울북,J 813.8-급59ㄱ-5,10
55,BAW000508733,판다 빵집,우시쿠보 료타 글·그림 ; 황진희 옮김,주니어RHK,MC 833.8-우59ㅍ,10
56,BAW000443730,쿠키런 서바이벌 대작전. 11-12,김강현,서울문화사,J 372.42-김11ㅋ-11=2,10
57,BAW000509003,(흔한남매) 오해요,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔아이세움,J 813.8-흔91ㅇ,10
